Number \ Keywords \ Quantity \ Percentage
# first keyboard line
106 \ mnopqrs \ 1 \ 2.2052272707225205e-06
107 \ efgh \ 1 \ 2.2052272707225205e-06
108 \ pqrstu \ 1 \ 2.2052272707225205e-06
109 \ cdef \ 1 \ 2.2052272707225205e-06
110 \ bcdefg \ 1 \ 2.2052272707225205e-06
111 \ wxyz \ 1 \ 2.2052272707225205e-06
112 \ uvwx \ 1 \ 2.2052272707225205e-06
113 \ hijk \ 1 \ 2.2052272707225205e-06
114 \ defghijk \ 1 \ 2.2052272707225205e-06
115 \ fghij \ 1 \ 2.2052272707225205e-06
116 \ jklmn \ 1 \ 2.2052272707225205e-06
117 \ efghi \ 1 \ 2.2052272707225205e-06
118 \ stuv \ 1 \ 2.2052272707225205e-06
119 \ abcdefghijklmnopqrst \ 1 \ 2.2052272707225205e-06

# Reverse fingering order
1 \ nji \ 156 \ 0.0003440154542327132
2 \ se4 \ 92 \ 0.0002028809089064719
3 \ bhu \ 66 \ 0.00014554499986768637
4 \ 12q \ 64 \ 0.0001411345453262413
5 \ okm \ 46 \ 0.00010144045445323595
6 \ ko0 \ 44 \ 9.702999991179091e-05
7 \ 3wa \ 31 \ 6.836204539239814e-05
8 \ gy7 \ 29 \ 6.39515908509531e-05
9 \ mko \ 26 \ 5.7335909038785536e-05
10 \ nji9 \ 23 \ 5.0720227226617976e-05
11 \ ijn \ 21 \ 4.630977268517293e-05
12 \ 0okm \ 19 \ 4.1899318143727894e-05
13 \ q21 \ 19 \ 4.1899318143727894e-05
14 \ hu8 \ 18 \ 3.969409087300537e-05
15 \ aw3 \ 18 \ 3.969409087300537e-05
16 \ esz \ 13 \ 2.8667954519392768e-05
17 \ zse \ 13 \ 2.8667954519392768e-05
18 \ cft \ 12 \ 2.646272724867025e-05
19 \ ji9 \ 11 \ 2.4257499977947727e-05
20 \ uhb \ 10 \ 2.2052272707225208e-05
21 \ dr5 \ 10 \ 2.2052272707225208e-05
22 \ 4es \ 10 \ 2.2052272707225208e-05
23 \ 0ok \ 9 \ 1.9847045436502686e-05
24 \ ft6 \ 9 \ 1.9847045436502686e-05
25 \ 2q3 \ 8 \ 1.7641818165780164e-05
26 \ 9ij \ 7 \ 1.5436590895057645e-05
27 \ 8uhb \ 7 \ 1.5436590895057645e-05
28 \ 9ijn \ 6 \ 1.3231363624335125e-05
29 \ bhu8 \ 6 \ 1.3231363624335125e-05
30 \ rdx \ 6 \ 1.3231363624335125e-05
31 \ w3q \ 6 \ 1.3231363624335125e-05
32 \ tfc \ 5 \ 1.1026136353612604e-05
33 \ xdr \ 5 \ 1.1026136353612604e-05
34 \ zse4 \ 5 \ 1.1026136353612604e-05
35 \ 3q2 \ 5 \ 1.1026136353612604e-05
36 \ mko0 \ 4 \ 8.820909082890082e-06
37 \ vgy \ 4 \ 8.820909082890082e-06
38 \ NJI \ 3 \ 6.615681812167562e-06
